id,query,difficulty,category,num_target_files,target_files
92,Use hierarchical decomposition with order (x y z),advanced,parallel_computing,1,system/decomposeParDict
93,Setup AMR with field-based refinement using gradient of alpha,advanced,mesh,1,constant/dynamicMeshDict
94,Set refinement interval to every 5 time steps,intermediate,mesh,1,constant/dynamicMeshDict
95,Define refinement region box from (0 0 0) to (2 1 1) with level 2,intermediate,mesh,1,constant/dynamicMeshDict
96,Set unrefine level to 1 below current maximum,advanced,mesh,1,constant/dynamicMeshDict
97,Use density gradient as refinement criterion with threshold 100,advanced,mesh,1,constant/dynamicMeshDict
98,Change from ASCII to binary output format,basic,output_control,1,system/controlDict
99,Enable time precision to 10 digits,basic,output_control,1,system/controlDict
100,Purge write to keep only latest 5 time directories,intermediate,output_control,1,system/controlDict
101,"Output only pressure and velocity fields, skip other variables",intermediate,output_control,1,system/controlDict
102,Change write format to compressed binary,basic,output_control,1,system/controlDict
103,Set adjustTimeStep on with maxDeltaT of 1e-5,intermediate,time_control,1,system/controlDict
104,Disable adjustable time stepping and use fixed deltaT of 1e-6,basic,time_control,1,system/controlDict
105,Set maxAlphaCo to 0.5 for multiphase flow,intermediate,time_control,1,system/controlDict
106,Add runTimeModifiable option to allow on-the-fly parameter changes,intermediate,solver_control,1,system/controlDict
107,Change application from blastFoam to rhoCentralFoam,basic,solver_control,1,system/controlDict
108,"Setup multiple explosives: TNT at (0.5, 0.5, 0.5) and C4 at (1.5, 0.5, 0.5)",advanced,material_properties,2,constant/phaseProperties;system/setFieldsDict
109,"Define three-phase system: air, explosive products, and solid particles",advanced,multiphase,1,constant/phaseProperties
110,Add inert gas (nitrogen) phase to the simulation,advanced,multiphase,1,constant/phaseProperties
111,Change from single to two-step combustion mechanism,advanced,combustion,1,constant/combustionProperties
112,Add ignition delay time of 1e-6 seconds before combustion starts,advanced,combustion,1,constant/combustionProperties
113,Setup EDC (Eddy Dissipation Concept) turbulent combustion model,advanced,combustion,2,constant/combustionProperties;constant/turbulenceProperties
114,Configure radiative heat transfer with P1 model,advanced,physics_models,1,constant/radiationProperties
115,Enable gravity with g = (0 0 -9.81) m/s²,basic,physics_models,1,constant/g
116,Add MRF (Multiple Reference Frame) zone rotating at 1000 RPM,advanced,physics_models,1,constant/MRFProperties
117,Setup FSI (Fluid-Structure Interaction) coupling for window panels,advanced,physics_models,2,constant/phaseProperties;system/controlDict
118,Change mesh motion to prescribed oscillation with frequency 100 Hz,advanced,mesh,1,constant/dynamicMeshDict
119,Use limiters on temperature between 250K and 5000K,intermediate,solver_control,1,system/fvOptions
120,Add source term: constant volumetric heat addition of 1e6 W/m³ in region,advanced,physics_models,1,system/fvOptions
